StrategyName,Direction,OpenPrice,ClosePrice,Profit/Loss,Profit/Loss in pips,Open Date,Close Date,First Commission,Second Commission,Deposit Curve,Percent Change,Adjusted Open Date,Adjusted Close Date,Parameters
,SELL,1.06383,1.07328,-111.15,-94.5,04/16/2015 06:00:01,04/16/2015 09:01:41,0.375,0.375,10945.224999999986,-0.010120171382705701,04/16/2015 06:00:01,04/16/2015 09:01:41,
,BUY,1.0730238,1.07493,22.2,19.1,04/16/2015 10:00:00,04/17/2015 05:00:00,0.375,0.36125,10966.688749999987,0.001961014963146105,04/16/2015 10:00:00,04/17/2015 05:00:00,
,SELL,1.07491,1.08212,-80.69,-72.1,04/17/2015 05:00:00,04/17/2015 07:00:00,0.36125,0.36125,10885.276249999986,-0.0074236172700716486,04/17/2015 05:00:00,04/17/2015 07:00:00,
,BUY,1.08213,1.0757,-71.42,-64.3,04/17/2015 07:00:00,04/17/2015 11:00:00,0.36125,0.36125,10813.133749999986,-0.0066275304680485274,04/17/2015 07:00:00,04/17/2015 11:00:00,
,SELL,1.07572,1.08177,-66.74,-60.5,04/17/2015 11:00:00,04/17/2015 18:00:00,0.36125,0.36125,10745.671249999987,-0.0062389406771186677,04/17/2015 11:00:00,04/17/2015 18:00:00,
,BUY,1.0818138,1.07532,-71.21,-64.9,04/17/2015 18:00:00,04/20/2015 07:00:00,0.36125,0.365,10673.734999999988,-0.0066944398657272268,04/17/2015 18:00:00,04/20/2015 07:00:00,
,SELL,1.0753102,1.07418,13.11,11.3,04/20/2015 07:00:00,04/21/2015 13:00:00,0.365,0.375,10686.104999999989,0.0011589195347271424,04/20/2015 07:00:00,04/21/2015 13:00:00,
,BUY,1.0742138,1.07268,-18.01,-15.3,04/21/2015 13:00:00,04/22/2015 11:00:00,0.375,0.38,10667.339999999989,-0.0017560186803329593,04/21/2015 13:00:00,04/22/2015 11:00:00,
,SELL,1.0726706,1.0728,-1.52,-1.3,04/22/2015 11:00:00,04/23/2015 07:00:00,0.38,0.38,10665.059999999989,-0.00021373650788300149,04/22/2015 11:00:00,04/23/2015 07:00:00,
,BUY,1.0728138,1.08141,101.88,86,04/23/2015 07:00:00,04/24/2015 12:00:00,0.38,0.38,10766.179999999988,0.00948142814011352,04/23/2015 07:00:00,04/24/2015 12:00:00,
,SELL,1.0814202,1.08659,-59.85,-51.7,04/24/2015 12:00:00,04/26/2015 22:00:00,0.38,0.39666666666666667,10705.553333333321,-0.0056312142901815757,04/24/2015 12:00:00,04/26/2015 22:00:00,
,BUY,1.08659,1.08348,-38.27,-31.1,04/26/2015 22:00:00,04/27/2015 07:00:00,0.39666666666666667,0.39666666666666667,10666.489999999987,-0.0036488850334997678,04/26/2015 22:00:00,04/27/2015 07:00:00,
