Direction,OpenPrice,ClosePrice,Profit/Loss,Profit/Loss in pips,Open Date,Close Date,First Commission,Second Commission,Deposit Curve,Percent Change,Adjusted Open Date,Adjusted Close Date
SELL, 1.10297, 1.1051, -27.3, -21.3, 9/6/2019 10:00:00 AM, 9/6/2019 2:00:00 PM, 0.497142857142857, 0.497142857142857, 4715.85428571428, -0.00596403870753274, 9/6/2019 10:00:00 AM, 9/6/2019 2:00:00 PM
BUY, 1.10511, 1.10244, -34.01, -26.7, 9/6/2019 2:00:00 PM, 9/6/2019 9:00:00 PM, 0.497142857142857, 0.497142857142857, 4680.85, -0.00742268178648448, 9/6/2019 2:00:00 PM, 9/6/2019 9:00:00 PM
SELL, 1.10244, 1.10347, -13.03, -10.3, 9/6/2019 9:00:10 PM, 9/9/2019 9:00:00 AM, 0, 0.755, 4667.065, -0.00294497794204041, 9/7/2019 12:00:00 AM, 9/9/2019 9:00:00 AM
BUY, 1.1034938, 1.10421, 9.83, 7.2, 9/9/2019 9:00:00 AM, 9/10/2019 1:00:00 AM, 0.755, 0.52, 4675.62, 0.00183305782113605, 9/9/2019 9:00:00 AM, 9/10/2019 1:00:00 AM
SELL, 1.10421, 1.10485, -8.55, -6.4, 9/10/2019 1:00:00 AM, 9/10/2019 7:00:00 PM, 0.52, 0.52, 4666.03, -0.00205106488551254, 9/10/2019 1:00:00 AM, 9/10/2019 7:00:00 PM
BUY, 1.1048838, 1.10336, -20.3, -15.2, 9/10/2019 7:00:00 PM, 9/11/2019 8:00:00 AM, 0.52, 0.52, 4644.69, -0.00457348109634961, 9/10/2019 7:00:00 PM, 9/11/2019 8:00:00 AM
SELL, 1.1033606, 1.10144, 26.22, 19.2, 9/11/2019 8:00:01 AM, 9/12/2019 12:00:00 AM, 0.52, 0.511666666666667, 4669.87833333333, 0.00542303863838782, 9/11/2019 8:00:01 AM, 9/12/2019 12:00:00 AM
BUY, 1.10143, 1.09772, -49.48, -37.1, 9/12/2019 12:00:00 AM, 9/12/2019 11:50:59 AM, 0.511666666666667, 0.511666666666667, 4619.375, -0.0108147000260891, 9/12/2019 12:00:00 AM, 9/12/2019 11:50:59 AM
SELL, 1.09652, 1.10018, -48.28, -36.6, 9/12/2019 12:00:00 PM, 9/12/2019 1:43:39 PM, 0.511666666666667, 0.511666666666667, 4570.07166666666, -0.0106731610517296, 9/12/2019 12:00:00 PM, 9/12/2019 1:43:39 PM
BUY, 1.1030638, 1.10679, 48.62, 37.3, 9/12/2019 3:00:00 PM, 9/13/2019 2:00:00 PM, 0.511666666666667, 0.47, 4617.71, 0.010423979492663, 9/12/2019 3:00:00 PM, 9/13/2019 2:00:00 PM
SELL, 1.1067904, 1.10136, 61.12, 54.3, 9/13/2019 2:00:00 PM, 9/17/2019 5:00:00 AM, 0.47, 0.436666666666667, 4677.92333333333, 0.0130396524106826, 9/13/2019 2:00:00 PM, 9/17/2019 5:00:00 AM
BUY, 1.10136, 1.09952, -20.98, -18.4, 9/17/2019 5:00:00 AM, 9/17/2019 7:00:00 AM, 0.436666666666667, 0.436666666666667, 4656.07, -0.00467158860377487, 9/17/2019 5:00:00 AM, 9/17/2019 7:00:00 AM
SELL, 1.09952, 1.10173, -25.08, -22.1, 9/17/2019 7:00:00 AM, 9/17/2019 8:00:00 AM, 0.436666666666667, 0.436666666666667, 4630.11666666667, -0.00557408572751976, 9/17/2019 7:00:00 AM, 9/17/2019 8:00:00 AM
